,Expert,TimeD1,TimeD2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8D1,Q8D2,Q9D1,Q9D2,Q10D1,Q10D2,Like,Not Like,Change
P1,1,4:09,3:47,1.5,2.5,1,2,1.5,3,1.5,2.5,2,2.5,2.5,2.5,3,,,
P2,0,3:53,3:43,2,3,1,3,1,3,1,1,2,2,3,1,2,,,
P3,0,1:48,3:03,3,3,1,3,3,3,1,3,2,3,3,2,2,,,
P4,0,4:30,3:30,2,3,1,2,2,3,1,1,2,1,2,1,2,,,
P5,0,2:15,3:42,2,3,1,3,2,3,2,1,3,3,2,1,3,,,
P6,0,2:14,5:30,1,3,1,3,1,3,1,3,2,2,3,3,3,,,
P7,0,2:58,5:00,2,3,1,2,2,3,1,2,1,1,3,2,2,,,
P8,1,4:08,5:40,3,3,1,2,1,3,1,3,2,2,3,2,3,,,
P9,1,4:50,4:55,2,3,1,1,3,2,1,3,2,2,3,3,2,,,
P10,1,3:48,4:08,3,2.5,3,2,2,3,1.5,1.5,2.5,1,3,2,2,,,
P11,0,4:48,4:33,3,3,3,3,1,3,1,2,3,2,3,1,3,,,
P12,0,5:15,5:00,3,3,3,3,2,3,1,1,2,3,3,1,3,,,