Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5
1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
